timestamp,overall_score,deep_sleep_in_minutes
2025-03-16T09:10:30Z,70,67
2025-03-17T09:16:00Z,74,102
2025-03-19T05:13:00Z,63,34
2025-03-22T08:00:00Z,79,42
2025-03-23T09:42:00Z,69,99
2025-03-28T07:00:30Z,71,46
2025-03-29T08:05:00Z,81,65
2025-03-30T10:14:00Z,73,84
2025-04-01T08:46:30Z,78,83
2025-04-02T05:15:00Z,63,18
2025-04-06T09:32:00Z,72,71
2025-04-07T06:17:00Z,62,58
2025-04-08T06:02:00Z,67,51
2025-04-14T15:34:00Z,65,5
2025-04-15T09:42:00Z,74,81
2025-04-17T09:47:00Z,77,73
2025-04-20T11:07:30Z,82,100
2025-05-06T05:31:30Z,71,39
2025-05-07T05:45:30Z,67,53
2025-05-08T06:05:00Z,72,59
2025-05-09T06:11:30Z,70,77
2025-05-10T08:43:30Z,78,93
2025-05-13T06:10:00Z,65,92
2025-05-14T05:46:00Z,72,63
2025-05-14T16:14:30Z,61,39
2025-05-15T09:12:30Z,78,59
2025-05-16T08:53:30Z,81,93
2025-05-17T07:44:00Z,67,57
2025-05-18T09:44:00Z,71,70
2025-05-20T05:39:30Z,74,54
2025-05-21T05:59:30Z,57,56
2025-05-22T06:01:30Z,62,12
2025-05-24T07:17:00Z,74,55
2025-05-25T10:33:00Z,73,88
2025-05-27T06:18:30Z,75,71
2025-05-28T06:06:00Z,75,79
2025-05-29T05:19:30Z,75,71
2025-05-30T05:26:00Z,70,53
2025-05-31T10:21:00Z,67,60
2025-06-02T08:09:30Z,74,31
2025-06-04T05:45:00Z,68,54
2025-06-05T06:59:30Z,75,25
2025-06-07T09:45:30Z,85,85
2025-06-08T06:48:30Z,67,69
2025-06-09T07:45:30Z,76,70
2025-06-10T06:12:30Z,62,49
2025-06-28T07:14:00Z,69,93
2025-06-29T10:00:30Z,69,70
2025-06-30T09:02:30Z,84,114
