DATE,UPDATED_AT,STRESS_SCORE,CALCULATION_FAILED
2025-03-15T00:00:00,2025-03-15T17:18:09.568,0,true
2025-03-17T00:00:00,2025-03-17T18:25:15.381,0,true
2025-03-18T00:00:00,2025-03-19T00:42:46.208,78,false
2025-03-19T00:00:00,2025-03-19T12:13:12.347,80,false
2025-03-21T00:00:00,2025-03-21T15:22:10.072,82,false
2025-03-22T00:00:00,2025-03-22T14:07:05.026,79,false
2025-03-23T00:00:00,2025-03-23T16:35:45.865,75,false
2025-03-24T00:00:00,2025-03-24T14:20:59.911,0,true
2025-03-25T00:00:00,2025-03-25T14:50:08.437,0,false
2025-03-26T00:00:00,2025-03-26T12:17:31.946,75,false
2025-03-30T00:00:00,2025-04-01T19:47:31.32,80,false
2025-04-01T00:00:00,2025-04-01T19:47:31.97,76,false
2025-03-29T00:00:00,2025-04-01T19:47:31.525,0,true
2025-03-28T00:00:00,2025-04-01T19:47:31.607,0,true
2025-03-27T00:00:00,2025-04-01T19:47:31.776,0,true
2025-03-31T00:00:00,2025-04-01T19:47:32.137,75,false
2025-04-04T00:00:00,2025-04-08T04:35:33.39,0,true
2025-04-02T00:00:00,2025-04-08T04:35:33.408,0,true
2025-04-07T00:00:00,2025-04-08T04:35:33.783,70,false
2025-04-03T00:00:00,2025-04-08T04:35:34.085,0,true
2025-04-05T00:00:00,2025-04-08T04:35:34.988,89,false
2025-04-06T00:00:00,2025-04-08T04:35:35.484,84,false
2025-04-08T00:00:00,2025-04-08T14:58:14.491,78,false
2025-04-09T00:00:00,2025-04-09T12:06:38.063,76,false
2025-04-10T00:00:00,2025-04-11T02:23:36.471,65,false
2025-04-11T00:00:00,2025-04-11T15:12:26.805,75,false
2025-04-12T00:00:00,2025-04-13T03:41:29.504,75,false
2025-04-13T00:00:00,2025-04-14T03:12:28.127,72,false
2025-04-14T00:00:00,2025-04-15T00:00:37.958,71,false
2025-04-15T00:00:00,2025-04-15T12:12:39.876,75,false
2025-04-16T00:00:00,2025-04-16T17:20:43.025,78,false
2025-04-17T00:00:00,2025-04-17T17:18:08.574,75,false
2025-04-18T00:00:00,2025-04-18T17:15:22.48,85,false
2025-04-19T00:00:00,2025-04-19T17:27:45.426,82,false
2025-04-20T00:00:00,2025-04-20T15:35:28.203,76,false
2025-04-21T00:00:00,2025-04-22T00:21:33.82,74,false
2025-04-22T00:00:00,2025-04-22T16:59:37.161,85,false
2025-04-23T00:00:00,2025-04-23T14:36:19.004,86,false
2025-04-27T00:00:00,2025-04-29T04:37:12.93,0,true
2025-04-28T00:00:00,2025-04-29T04:37:13.241,84,false
2025-04-24T00:00:00,2025-04-29T04:37:14.348,81,false
2025-04-25T00:00:00,2025-04-29T04:37:16.585,88,false
2025-04-29T00:00:00,2025-04-29T13:49:21.848,82,false
2025-04-30T00:00:00,2025-04-30T12:01:12.301,82,false
2025-05-01T00:00:00,2025-05-01T16:22:32.665,79,false
2025-05-02T00:00:00,2025-05-02T16:59:17.804,81,false
2025-05-03T00:00:00,2025-05-03T15:32:41.75,73,false
2025-05-04T00:00:00,2025-05-04T16:07:47.99,80,false
2025-05-05T00:00:00,2025-05-05T14:17:18.899,83,false
2025-05-06T00:00:00,2025-05-06T13:20:19.442,88,false
2025-05-07T00:00:00,2025-05-07T12:19:39.819,84,false
2025-05-08T00:00:00,2025-05-08T11:50:00.133,84,false
2025-05-09T00:00:00,2025-05-09T15:02:24.345,86,false
2025-05-10T00:00:00,2025-05-10T13:57:54.888,84,false
2025-05-11T00:00:00,2025-05-11T16:05:48.129,81,false
2025-05-12T00:00:00,2025-05-12T22:41:07.6,77,false
2025-05-13T00:00:00,2025-05-13T13:52:52.195,80,false
2025-05-19T00:00:00,2025-05-21T00:47:42.91,0,true
2025-05-16T00:00:00,2025-05-21T00:47:42.699,0,true
2025-05-17T00:00:00,2025-05-21T00:47:44.022,0,true
2025-05-15T00:00:00,2025-05-21T00:47:46.074,0,true
2025-05-20T00:00:00,2025-05-21T00:47:47.006,70,false
2025-05-14T00:00:00,2025-05-21T00:47:48.839,0,true
2025-05-21T00:00:00,2025-05-21T12:02:38.517,70,false
2025-05-22T00:00:00,2025-05-22T11:49:56.711,75,false
2025-05-26T00:00:00,2025-05-26T12:05:50.094,78,false
2025-05-29T00:00:00,2025-05-29T12:03:03.441,82,false
2025-05-30T00:00:00,2025-05-30T12:55:44.718,0,true
2025-05-31T00:00:00,2025-05-31T15:00:26.498,68,false
2025-06-01T00:00:00,2025-06-01T17:50:31.876,76,false
2025-06-02T00:00:00,2025-06-02T16:28:57.598,73,false
2025-06-03T00:00:00,2025-06-03T12:45:56.08,77,false
2025-06-06T00:00:00,2025-06-10T00:38:24.9,82,false
2025-06-09T00:00:00,2025-06-10T00:38:24.653,0,true
2025-06-05T00:00:00,2025-06-10T00:38:24.694,0,true
2025-06-07T00:00:00,2025-06-10T00:38:24.728,83,false
2025-06-04T00:00:00,2025-06-10T00:38:24.867,0,true
2025-06-10T00:00:00,2025-06-11T00:22:47.387,76,false
2025-06-11T00:00:00,2025-06-11T11:28:17.218,77,false
2025-06-12T00:00:00,2025-06-12T11:31:54.624,80,false
2025-06-13T00:00:00,2025-06-13T14:45:20.302,78,false
2025-06-14T00:00:00,2025-06-14T15:53:17.634,78,false
2025-06-16T00:00:00,2025-06-17T02:34:41.256,85,false
2025-06-15T00:00:00,2025-06-17T02:34:41.893,84,false
2025-06-17T00:00:00,2025-06-17T13:06:04.064,80,false
