timestamp,rmssd,coverage,low_frequency,high_frequency
2025-02-20T22:10:00,24.632,0.724,331.986,97.997
2025-02-20T22:15:00,29.124,0.994,357.967,263.824
2025-02-20T22:20:00,27.837,0.984,317.237,225.973
2025-02-20T22:25:00,30.211,0.932,281.847,203.767
2025-02-20T22:30:00,26.895,1.002,137.294,241.113
2025-02-20T22:35:00,27.083,1.001,92.505,229.318
2025-02-20T22:40:00,27.464,1.003,266.821,244.581
2025-02-20T22:45:00,30.018,1.002,199.644,308.455
2025-02-20T22:50:00,32.44,1.001,279.502,314.575
2025-02-20T22:55:00,36.367,0.993,807.894,369.278
2025-02-20T23:00:00,30.885,1.004,335.034,255.327
2025-02-20T23:05:00,34.647,1.002,268.312,360.326
2025-02-20T23:10:00,37.578,0.874,2556.005,274.398
2025-02-20T23:15:00,46.457,0.938,3574.565,627.422
2025-02-20T23:20:00,31.872,0.993,1386.716,313.022
2025-02-20T23:25:00,25.207,0.972,1466.797,557.883
2025-02-20T23:30:00,30.779,0.993,739.358,179.357
2025-02-20T23:35:00,36.344,0.978,187.422,188.556
2025-02-20T23:40:00,37.053,0.976,913.285,194.447
2025-02-20T23:45:00,32.396,0.975,299.163,206.3
2025-02-20T23:50:00,46.133,0.949,1548.449,375.546
2025-02-20T23:55:00,48.797,0.973,2506.518,1102.316
2025-02-21T00:00:00,65.944,0.98,9326.263,703.299
2025-02-21T00:05:00,43.556,1.006,2222.818,609.009
2025-02-21T00:10:00,38.694,0.953,453.031,317.436
2025-02-21T00:15:00,36.26,0.819,1165.879,130.472
2025-02-21T00:20:00,49.663,0.823,4502.575,485.274
2025-02-21T00:25:00,59.949,0.707,4775.357,621.714
2025-02-21T00:30:00,89.268,0.916,4525.634,1667.939
2025-02-21T00:35:00,49.543,0.784,2555.042,622.979
2025-02-21T00:40:00,41.243,0.864,2644.903,413.872
2025-02-21T00:45:00,66.058,1.001,4239.591,720.965
2025-02-21T00:50:00,71.36,0.944,3541.72,745.021
2025-02-21T00:55:00,64.394,0.991,4544.878,1260.334
2025-02-21T01:00:00,66.362,1.005,4366.953,1189.533
2025-02-21T01:05:00,75.605,0.998,3435.624,1138.826
2025-02-21T01:10:00,110.704,0.998,8546.387,1648.677
2025-02-21T01:15:00,83.77,0.967,5386.376,1144.243
2025-02-21T01:20:00,129.713,0.886,9760.21,2604.611
2025-02-21T01:25:00,165.766,0.897,8367.384,5170.122
2025-02-21T01:30:00,64.469,0.971,4764.554,1084.638
2025-02-21T01:35:00,45.541,0.951,2308.49,386.915
2025-02-21T01:40:00,75.196,0.92,6001.89,1317.46
2025-02-21T01:45:00,77.398,0.933,9907.447,1532.458
2025-02-21T01:50:00,101.345,0.927,8301.269,1363.619
2025-02-21T01:55:00,84.125,0.927,7274.222,1408.132
2025-02-21T02:00:00,81.707,0.999,5401.462,1550.937
2025-02-21T02:05:00,77.039,0.976,3295.991,1539.634
2025-02-21T02:10:00,43,0.99,464.809,421.964
2025-02-21T02:15:00,105.214,0.996,5938.605,2276.887
2025-02-21T02:20:00,105.999,0.985,5327.739,2568.413
2025-02-21T02:25:00,92.183,0.973,4764.005,1525.864
2025-02-21T02:30:00,120.532,1.004,3299.719,3233.57
2025-02-21T02:35:00,147.042,0.923,4212.185,5115.977
2025-02-21T02:40:00,115.35,1.003,9796.177,2046.132
2025-02-21T02:45:00,170.23,1.003,9039.195,4799.925
2025-02-21T02:50:00,199.798,1.004,10465.017,8254.385
2025-02-21T02:55:00,133.849,1,11272.034,3859.858
2025-02-21T03:00:00,133.047,1.002,7065.616,3753.592
2025-02-21T03:05:00,160.207,0.887,6211.819,4207.027
2025-02-21T03:10:00,107.788,0.984,8204.977,1762.332
2025-02-21T03:15:00,93.248,0.983,8854.379,1814.373
2025-02-21T03:20:00,92.994,0.975,8818.128,1332.303
2025-02-21T03:25:00,137.851,0.866,6029.359,4192.229
2025-02-21T03:35:00,134.678,0.836,7960.8,1719.72
2025-02-21T03:40:00,166.692,0.945,11692.141,5045.071
2025-02-21T03:45:00,65.47,1.005,4062.134,710.814
2025-02-21T03:50:00,107.225,0.947,7655.067,1766.082
2025-02-21T03:55:00,132.65,0.925,7205.4,3430.383
2025-02-21T04:00:00,131.152,0.882,11344.889,2924.001
2025-02-21T04:05:00,99.827,0.944,6433.652,1445.864
2025-02-21T04:10:00,169.635,0.94,12753.422,5435.224
2025-02-21T04:15:00,172.475,0.973,15732.738,5751.925
2025-02-21T04:20:00,104.664,1.002,8410.061,2140.189
2025-02-21T04:25:00,87.247,0.994,7481.546,2369.949
2025-02-21T04:30:00,127.197,1.005,8612.646,2648.34
2025-02-21T04:35:00,67.859,0.954,5492.297,971.468
2025-02-21T04:40:00,59.951,0.984,2541.989,428.445
2025-02-21T04:45:00,79.845,0.94,5848.61,1169.441
2025-02-21T04:50:00,179.506,0.997,7520.024,5384.957
2025-02-21T04:55:00,131.042,0.917,9770.904,3560.048
2025-02-21T05:00:00,158.946,0.985,17037.92,4590.91
2025-02-21T05:05:00,98.914,0.985,6957.852,955.187
2025-02-21T22:25:00,102.991,0.819,3542.696,866.101
2025-02-21T22:30:00,155.575,0.967,6783.873,4475.624
2025-02-21T22:35:00,150.844,0.929,4672.337,4105.653
2025-02-21T22:40:00,140.339,1.002,3361.441,3822.758
2025-02-21T22:45:00,133.839,1.001,3728.11,3350.806
2025-02-21T22:50:00,122.69,1.005,2374.855,2936.72
2025-02-21T22:55:00,106.457,1,1647.34,2316.91
2025-02-21T23:00:00,103.188,0.996,1650.317,2341.052
2025-02-21T23:05:00,107.08,1.001,1335.243,2692.294
2025-02-21T23:10:00,95.137,1.005,1106.987,2180.278
2025-02-21T23:15:00,123.502,0.999,2399.966,3478.624
2025-02-21T23:20:00,90.289,0.846,1831.684,1143.147
2025-02-21T23:25:00,105.422,1.001,3081.339,2474.103
2025-02-21T23:30:00,102.696,0.964,3530.259,2642.052
2025-02-21T23:35:00,101.972,0.999,1980.212,1830.896
2025-02-21T23:40:00,110.26,1.004,1135.067,2300.472
2025-02-21T23:45:00,98.95,1.002,1458.061,2252.247
2025-02-21T23:50:00,103.882,0.999,1122.742,2068.944
2025-02-21T23:55:00,93.928,1.001,1694.172,1593.648
2025-02-22T00:00:00,109.168,0.997,868.708,2189.729
2025-02-22T00:05:00,78.075,0.899,7049.972,1346.445
2025-02-22T00:10:00,59.498,1.002,2430.471,833.44
2025-02-22T00:15:00,47.654,1.006,2311.308,262.112
2025-02-22T00:20:00,66.364,0.969,3720.671,771.067
2025-02-22T00:25:00,87.413,0.861,4405.554,1698.79
2025-02-22T00:30:00,146.429,0.988,4083.812,4810.03
2025-02-22T00:35:00,132.12,0.972,4226.499,3734.92
2025-02-22T00:40:00,115.372,0.92,2136.313,2605.583
2025-02-22T00:45:00,150.106,0.933,1384.198,4616.094
2025-02-22T00:50:00,133.663,0.991,2728.596,2925.156
2025-02-22T00:55:00,122.836,0.983,2455.588,2633.65
2025-02-22T01:00:00,144.076,0.991,3961.409,3806.235
2025-02-22T01:05:00,131.478,1.001,2166.358,3809.924
2025-02-22T01:10:00,113.614,0.99,2988.902,2659.163
2025-02-22T01:15:00,89.803,1.002,1573.734,1770.3
2025-02-22T01:20:00,94.749,0.981,1729.608,1869.495
2025-02-22T01:25:00,105.763,1.002,1401.191,2007.923
2025-02-22T01:30:00,136.42,0.879,10155.062,3738.449
2025-02-22T01:35:00,135.021,0.981,4678.492,2915.967
2025-02-22T01:40:00,166.637,1.005,7229.807,6236.175
2025-02-22T01:45:00,156.651,0.952,5509.062,4182.407
2025-02-22T01:50:00,128.195,0.926,3690.789,3084.278
2025-02-22T01:55:00,136.886,0.968,14613.308,3762.047
2025-02-22T02:00:00,116.45,0.937,7621.108,1730.313
2025-02-22T02:05:00,152.672,1.003,3105.138,4227.155
2025-02-22T02:10:00,133.194,0.938,2859.655,3388.776
2025-02-22T02:15:00,117.426,0.735,7834.382,2679.517
2025-02-22T02:20:00,122.141,0.905,2330.672,3404.532
2025-02-22T02:25:00,70.763,0.815,2709.12,513.704
2025-02-22T02:30:00,84.875,0.75,2403.328,686.326
2025-02-22T02:35:00,124.152,0.969,3099.704,3083.626
2025-02-22T02:40:00,124.21,1.003,2210.455,3084.238
2025-02-22T02:45:00,122.356,1.004,2527.156,3054.423
2025-02-22T02:50:00,120.844,1,2583.108,3093.619
2025-02-22T02:55:00,138.63,0.915,10478.78,3640.826
2025-02-22T03:00:00,173.273,0.983,7044.765,6395.963
2025-02-22T03:05:00,187.858,1,3614.115,8528.44
